year	country	value
1	1	105000000
1	2	620000000
1	3	448390200
1	4	1288399000
1	5	837878098
1	6	238477000
1	7	192830000
1	8	99384000
1	9	25480000
1	10	138849000
1	11	570093000
1	12	6184940000
1	13	2200000000
1	14	25099000
1	15	790000000
2	1	590000000
2	2	660000000
2	3	1289830000
2	4	3290000000
2	5	338430000
2	6	593800000
2	7	439840000
2	8	899800000
2	9	288487000
2	10	99900000
2	11	4100000000
2	12	663477000
2	13	383450000
2	14	394880000
2	15	2048000000
3	1	567997000
3	2	588000000
3	3	443980000
3	4	183000000
3	5	128300000
3	6	292390000
3	7	594900000
3	8	129400000
3	9	349999500
3	10	439400000
3	11	549500000
3	12	4400300000
3	13	40999990
3	14	489590000
3	15	549900000
4	1	573630000
4	2	339999900
4	3	10250000
4	4	335900000
4	5	4540000
4	6	25400000
4	7	445400050
4	8	134540000
4	9	266640000
4	10	583444000
4	11	654600000
4	12	5946604000
4	13	5345000000
4	14	54454500
4	15	64454400
5	1	564383000
5	2	468000000
5	3	854550000
5	4	5454640000
5	5	1324000
5	6	245500000
5	7	445880000
5	8	144650000
5	9	31678000
5	10	48780000
5	11	4687000000
5	12	508690000
5	13	66080000
5	14	5400600
5	15	568900000
6	1	540780000
6	2	4792870000
6	3	334440000
6	4	8456000000
6	5	46765000
6	6	1676000000
6	7	4455000
6	8	87777800
6	9	887000000
6	10	68900000
6	11	14779000
6	12	9208980000
6	13	7890900000
6	14	148989800
6	15	4898900000
7	1	5407800000
7	2	3205440000
7	3	1176000000
7	4	7889890000
7	5	337700000
7	6	4474500000
7	7	666600000
7	8	5545000
7	9	336895000
7	10	3400008000
7	11	466760000
7	12	8978000000
7	13	9487800000
7	14	677786000
7	15	5578000000
